Tue, 08 Aug 2017 15:37:49 lagouetl.py[line:109] INFO -----Begin-----
Tue, 08 Aug 2017 15:37:49 lagouetl.py[line:89] INFO ---------Begin mf_crawler_project2--------
Tue, 08 Aug 2017 15:37:49 lagouetl.py[line:99] INFO data count: 434674
Tue, 08 Aug 2017 15:38:19 lagouetl.py[line:104] INFO COPY pageno 1, insert count: 764 current offset: 1000
Tue, 08 Aug 2017 15:38:47 lagouetl.py[line:104] INFO COPY pageno 2, insert count: 1514 current offset: 2000
Tue, 08 Aug 2017 15:39:15 lagouetl.py[line:104] INFO COPY pageno 3, insert count: 2296 current offset: 3000
Tue, 08 Aug 2017 15:39:43 lagouetl.py[line:104] INFO COPY pageno 4, insert count: 3257 current offset: 4000
Tue, 08 Aug 2017 15:40:11 lagouetl.py[line:104] INFO COPY pageno 5, insert count: 4228 current offset: 5000
Tue, 08 Aug 2017 15:40:40 lagouetl.py[line:104] INFO COPY pageno 6, insert count: 5214 current offset: 6000
Tue, 08 Aug 2017 15:41:09 lagouetl.py[line:104] INFO COPY pageno 7, insert count: 6199 current offset: 7000
Tue, 08 Aug 2017 15:41:40 lagouetl.py[line:104] INFO COPY pageno 8, insert count: 7182 current offset: 8000
Tue, 08 Aug 2017 15:42:09 lagouetl.py[line:104] INFO COPY pageno 9, insert count: 8167 current offset: 9000
Tue, 08 Aug 2017 15:42:40 lagouetl.py[line:104] INFO COPY pageno 10, insert count: 9156 current offset: 10000
Tue, 08 Aug 2017 15:43:09 lagouetl.py[line:104] INFO COPY pageno 11, insert count: 10144 current offset: 11000
Tue, 08 Aug 2017 15:43:39 lagouetl.py[line:104] INFO COPY pageno 12, insert count: 11130 current offset: 12000
Tue, 08 Aug 2017 15:44:09 lagouetl.py[line:104] INFO COPY pageno 13, insert count: 12122 current offset: 13000
Tue, 08 Aug 2017 15:44:40 lagouetl.py[line:104] INFO COPY pageno 14, insert count: 13104 current offset: 14000
Tue, 08 Aug 2017 15:45:10 lagouetl.py[line:104] INFO COPY pageno 15, insert count: 14085 current offset: 15000
Tue, 08 Aug 2017 15:45:39 lagouetl.py[line:104] INFO COPY pageno 16, insert count: 15071 current offset: 16000
Tue, 08 Aug 2017 15:46:07 lagouetl.py[line:104] INFO COPY pageno 17, insert count: 16058 current offset: 17000
Tue, 08 Aug 2017 15:46:36 lagouetl.py[line:104] INFO COPY pageno 18, insert count: 17051 current offset: 18000
Tue, 08 Aug 2017 15:47:08 lagouetl.py[line:104] INFO COPY pageno 19, insert count: 18037 current offset: 19000
Tue, 08 Aug 2017 15:47:39 lagouetl.py[line:104] INFO COPY pageno 20, insert count: 19029 current offset: 20000
Tue, 08 Aug 2017 15:48:07 lagouetl.py[line:104] INFO COPY pageno 21, insert count: 20016 current offset: 21000
Tue, 08 Aug 2017 15:48:36 lagouetl.py[line:104] INFO COPY pageno 22, insert count: 21007 current offset: 22000
Tue, 08 Aug 2017 15:49:05 lagouetl.py[line:104] INFO COPY pageno 23, insert count: 21994 current offset: 23000
Tue, 08 Aug 2017 15:49:34 lagouetl.py[line:104] INFO COPY pageno 24, insert count: 22972 current offset: 24000
Tue, 08 Aug 2017 15:50:03 lagouetl.py[line:104] INFO COPY pageno 25, insert count: 23954 current offset: 25000
Tue, 08 Aug 2017 15:50:35 lagouetl.py[line:104] INFO COPY pageno 26, insert count: 24944 current offset: 26000
Tue, 08 Aug 2017 15:51:02 lagouetl.py[line:104] INFO COPY pageno 27, insert count: 25930 current offset: 27000
Tue, 08 Aug 2017 15:51:31 lagouetl.py[line:104] INFO COPY pageno 28, insert count: 26918 current offset: 28000
Tue, 08 Aug 2017 15:52:00 lagouetl.py[line:104] INFO COPY pageno 29, insert count: 27910 current offset: 29000
Tue, 08 Aug 2017 15:52:31 lagouetl.py[line:104] INFO COPY pageno 30, insert count: 28348 current offset: 30000
Tue, 08 Aug 2017 15:52:59 lagouetl.py[line:104] INFO COPY pageno 31, insert count: 28674 current offset: 31000
Tue, 08 Aug 2017 15:53:27 lagouetl.py[line:104] INFO COPY pageno 32, insert count: 29319 current offset: 32000
Tue, 08 Aug 2017 15:53:58 lagouetl.py[line:104] INFO COPY pageno 33, insert count: 29717 current offset: 33000
Tue, 08 Aug 2017 15:54:27 lagouetl.py[line:104] INFO COPY pageno 34, insert count: 30046 current offset: 34000
